file,total,correct,accuracy,invalid_rate
run_1_alisawuffles_WANLI_test.json,5000,2800,0.56,0.0
run_1_allenai_scitail_test.json,2126,1292,0.6077,0.0
run_1_anli_test_r1.json,1000,491,0.491,0.0
run_1_anli_test_r2.json,1000,455,0.455,0.0
run_1_anli_test_r3.json,1200,515,0.4292,0.0
run_1_copa_nli_test.json,1000,482,0.482,0.0
run_1_inli_implied.json,1000,564,0.564,0.0
run_1_inli_nli.json,3000,2322,0.774,0.0
run_1_multi_nli_validation_matched.json,9815,8185,0.8339,0.0
run_1_multi_nli_validation_mismatched.json,9832,8208,0.8348,0.0
run_1_pietrolesci_nli_fever_dev.json,19998,13872,0.6937,0.0003
run_1_snli_test.json,9824,8909,0.9069,0.0
run_1_snli_validation.json,9842,9037,0.9182,0.0
