file,total,correct,accuracy,invalid_rate
run_1_alisawuffles_WANLI_test.json,5000,2537,0.5074,0.0
run_1_allenai_scitail_test.json,2126,1075,0.5056,0.0
run_1_anli_test_r1.json,1000,494,0.494,0.0
run_1_anli_test_r2.json,1000,457,0.457,0.0
run_1_anli_test_r3.json,1200,540,0.45,0.0
run_1_copa_nli_test.json,1000,344,0.344,0.0
run_1_inli_implied.json,1000,671,0.671,0.0
run_1_inli_nli.json,3000,2218,0.7393,0.0
run_1_multi_nli_validation_matched.json,9815,7472,0.7613,0.0001
run_1_multi_nli_validation_mismatched.json,9832,7484,0.7612,0.0
run_1_pietrolesci_nli_fever_dev.json,19998,13265,0.6633,0.0003
run_1_snli_test.json,9824,8281,0.8429,0.0
run_1_snli_validation.json,9842,8352,0.8486,0.0
