file,total,correct,accuracy,invalid_rate
run_1_alisawuffles_WANLI_test.json,5000,2709,0.5418,0.0
run_1_allenai_scitail_test.json,2126,1691,0.7954,0.0
run_1_anli_test_r1.json,1000,375,0.375,0.0
run_1_anli_test_r2.json,1000,374,0.374,0.001
run_1_anli_test_r3.json,1200,470,0.3917,0.0
run_1_copa_nli_test.json,1000,549,0.549,0.0
run_1_multi_nli_validation_matched.json,9815,5446,0.5549,0.0
run_1_multi_nli_validation_mismatched.json,9832,5588,0.5683,0.0
run_1_pietrolesci_nli_fever_dev.json,19998,11376,0.5689,0.0004
run_1_snli_test.json,9824,4623,0.4706,0.0
run_1_snli_validation.json,9842,4689,0.4764,0.0
